,speakerid,lastname,congress_num,state,chamber,Mean_Republican_Logit_TF,Median_Republican_Logit_TF,Mean_Republican_Logit_Count,Median_Republican_Logit_Count,Mean_Republican_MNB_TF,Median_Republican_MNB_TF,Mean_Republican_MNB_Count,Median_Republican_MNB_Count,ideology,Mean_Republican_LSTM,Median_Republican_LSTM
545,113122740,jolly,113,FL,H,0.5166946019416094,0.536090279093344,0.5896809690343298,0.7129687981641006,0.43831596197294426,0.44415967710499377,0.6198228494945144,0.7658190556627217,0.639271809992082,0.4466343,0.4904161
546,113122750,clawson,113,FL,H,0.5010601911030654,0.52673432811262,0.5140101981138636,0.507893436223307,0.46269515356859914,0.4419154712532197,0.43414381819607006,0.38696896181993096,0.536010283466993,0.5611253,0.35763696
547,113122760,brat,113,VA,H,0.6803287280738134,0.6803287280738134,0.8107558216109005,0.8107558216109005,0.4897866479485239,0.4897866479485239,0.8335204183091841,0.8335204183091841,0.498036330154114,0.5768897,0.5768897
548,113122770,norcross,113,NJ,H,0.47706853585401165,0.5176084942621354,0.4424850452190617,0.41762195533671187,0.3966245825277069,0.3677303077074102,0.2819379105174255,0.2227269329224995,0.495415944946717,0.58926505,0.39999837
549,113122780,adams,113,NC,H,0.13386507600809952,0.13319865493875352,0.08935237822076725,0.06652318459872611,0.23943902612941026,0.2345062681624624,0.0001504690758398994,5.9621403018482306e-05,0.49327667375178,0.5783354,0.47174707
550,113123480,hanabusa,113,HI,H,0.355099396276786,0.3248995113464222,0.37872091813914927,0.35736947789442464,0.3740926862023883,0.3650641962941291,0.25510735674860013,0.03878404740903345,0.3778738321117835,0.5411481,0.5586954
551,114118050,schock,114,IL,H,0.671737896338009,0.6488912635105523,0.7514530006817989,0.8207797173290663,0.534638393603958,0.5173214507411216,0.8849256043930633,0.9976538115349909,,0.44234562,0.44738516
552,114118060,boehner,114,OH,H,0.6201364614778172,0.7711169154914213,0.5882000637069497,0.6586323885974814,0.4935573610718322,0.47085278419743737,0.598107928941047,0.7531295272326961,,0.70194405,0.6266294
553,114118070,fattah,114,PA,H,0.43245467313129227,0.4171474640460933,0.4148635257116415,0.42875439079105976,0.4517655992996659,0.46520893041594163,0.5082933038938293,0.5702955244561004,0.260534544524084,0.4767974,0.46021497
554,114118080,whitfield,114,KY,H,0.5118237369489651,0.48297194309517305,0.5282166125644129,0.501324405800685,0.47081217121419694,0.46732907818570424,0.6354058012597007,0.6613007134882127,0.676965311184972,0.46524,0.4880103
555,114118090,takai,114,HI,H,0.3985028977209255,0.36673631874963974,0.378545622050006,0.2971279497837986,0.3461929017600174,0.3576555569947509,0.20631285501329444,0.002885398517974855,0.322062407634654,0.48012495,0.4622344
556,114118101,brown,114,OH,S,0.37130095810473357,0.3913721401942821,0.3624054381176811,0.3970757225647461,0.39597089606353936,0.399502644651975,0.2829367369690175,0.13647187764402513,0.13564095594835301,0.44938788,0.45740712
557,114118111,cantwell,114,WA,S,0.4502087988507696,0.42070303192826525,0.4381489182909086,0.423334428882324,0.4513014875546572,0.46313986622177367,0.5590020428792019,0.6516730644254228,0.2930981096064707,0.4588396,0.46002835
558,114118121,cardin,114,MD,S,0.41867273121162996,0.40545118680223535,0.3882011327661125,0.37916764108277756,0.4018751749470283,0.40569869784932316,0.3633444652731183,0.24284917314311072,0.24524032986306268,0.43247226,0.4652774
559,114118131,carper,114,DE,S,0.44572681547272563,0.46949129294894937,0.45706671364658596,0.4978784637356085,0.42901314778523963,0.4464844086107048,0.42095575004695845,0.387647228914779,0.37031049644061304,0.4696128,0.5085659
560,114118141,casey,114,PA,S,0.43617049750625686,0.465702952221194,0.5160811487222288,0.5283735010061157,0.3605594053381165,0.35810350237347155,0.27083580029622323,0.025247299789307155,0.2955770196465974,0.36862245,0.34341407
561,114118151,corker,114,TN,S,0.5244626760486523,0.5391242063383511,0.5371949041050913,0.5271636810158278,0.5131787727781085,0.4877584472609795,0.6783805007565827,0.7398146435460824,0.6958834188726383,0.44704217,0.4844538
562,114118161,feinstein,114,CA,S,0.4560638227400388,0.4472310651531116,0.46721117880381324,0.47866312581901155,0.4257740595573838,0.43887137620477795,0.42289882153777997,0.43151292540727504,0.153382502150686,0.4547761,0.44256318
563,114118171,hatch,114,UT,S,0.5050481771502213,0.5143532945490313,0.5006425849583853,0.5220914544288409,0.45902678692632715,0.4666315632790358,0.5459275545512255,0.620186616548124,0.8508574615796359,0.45251647,0.49743226
564,114118181,klobuchar,114,MN,S,0.43771626237456146,0.425018995655453,0.4534905128160777,0.4273088146824987,0.4040683576319829,0.40130628431094295,0.28992804893664526,0.1668303243584715,0.2935311546767027,0.39092085,0.38224283
565,114118191,mccaskill,114,MO,S,0.46674258060711554,0.4755234106531401,0.48718594414042715,0.3989595747266582,0.41863595138118076,0.4203296078495965,0.38386088613551483,0.20797183390251694,0.422158260766071,0.36072233,0.35014433
566,114118201,menendez,114,NJ,S,0.32945545945102117,0.3128482307711965,0.3285911125292799,0.2922418364749496,0.35790545971940413,0.35812293726317823,0.20111800194660406,0.01957404002216271,,0.48921192,0.47548807
567,114118211,nelson,114,FL,S,0.43030118049742677,0.4401240901294446,0.4160524947782525,0.44594748500209347,0.42385796768014256,0.43419136169497663,0.3905882070493454,0.33038235466651206,0.4850703339250413,0.46583408,0.4748055
568,114118231,stabenow,114,MI,S,0.3296083372080517,0.3391977940498617,0.3274148831816548,0.30792810343469396,0.38542062367663976,0.3905803914517298,0.2743884106072557,0.22878775680473523,0.219740682695702,0.45995176,0.39101702
569,114118241,tester,114,MT,S,0.44155714362413895,0.43202950784476274,0.4626745143261115,0.4933488071128907,0.40887586598437714,0.4074992098589862,0.33252314873372574,0.2934516147781561,0.465588585100761,0.40227085,0.4218622
570,114118251,whitehouse,114,RI,S,0.3967672922610095,0.37144672093883896,0.38115219458657074,0.39621297564876556,0.4159843768676368,0.4321250231445078,0.4172020113971644,0.3866813770942647,0.1259178301786457,0.4696002,0.49751568
571,114118261,barrasso,114,WY,S,0.6325824424285341,0.6646141153745695,0.6476534676332705,0.6518175321133493,0.5029846475822702,0.5011440396583943,0.6905258803778145,0.7963532593729504,0.9246200398867407,0.40941778,0.41810077
572,114118271,wicker,114,MS,S,0.49080643583248956,0.49469043321137535,0.5466906628529448,0.5622243942812304,0.4443323325611154,0.47057792834616097,0.529006281608355,0.6007099797828698,0.8547729626704941,0.3472522,0.3805437
573,114118281,alexander,114,TN,S,0.480136898028476,0.4728266997115633,0.5009327411284659,0.4935995477161779,0.4561098693562363,0.45836456868768694,0.5592397826760058,0.5897334868365699,0.7176938893640773,0.46179485,0.45938814
574,114118291,cochran,114,MS,S,0.442781932827549,0.43525473129397757,0.44603413991858004,0.43865406356859604,0.3964096453635772,0.38956610782426143,0.33524950150320243,0.13918284050635937,0.7661489406238413,0.44247195,0.42039275
575,114118301,collins,114,ME,S,0.4392236947377584,0.4493915627339144,0.455285239950528,0.461422476311626,0.42213272723727535,0.43221222086195055,0.4248550895992296,0.4272700070556465,0.4616408122316673,0.45373738,0.47535282
576,114118311,cornyn,114,TX,S,0.487291659152624,0.4914323831167028,0.4788393300852376,0.4911318535677848,0.46131759823823043,0.466111281389062,0.584382977978773,0.6318072664124342,0.896206991714881,0.46689326,0.4783786
577,114118321,durbin,114,IL,S,0.36246482913956,0.34940620860682053,0.35627315941422494,0.3392636655521208,0.3849480583458946,0.3924304118683517,0.27257189864134823,0.13639490321125433,0.10627613659431855,0.4506391,0.44798502
578,114118331,enzi,114,WY,S,0.5073378275535108,0.5082737693404065,0.5150004396755511,0.5259925676667103,0.47082637786400466,0.4721810603964282,0.6059981677385589,0.6591248830076262,0.9087557223688393,0.43632355,0.43684587
579,114118341,graham,114,SC,S,0.49858005052574583,0.5088700205614024,0.5060260247139795,0.5207893350328151,0.446303247332368,0.4469032988819979,0.4808726341748771,0.4704176676117806,0.7248939399758497,0.46809256,0.488493
580,114118351,inhofe,114,OK,S,0.4778011918357859,0.48816959032050855,0.4777760786222612,0.48131222256120815,0.4560563562520407,0.46583047253584026,0.5571297887142469,0.5955592001736827,1.0,0.45802718,0.46220744
581,114118361,mcconnell,114,KY,S,0.43397568860384034,0.4554502112580386,0.4635254938830634,0.458163104800172,0.4561772650223012,0.45339293528216984,0.553308115373116,0.5727906497965455,0.790386784531539,0.42525408,0.4326918
582,114118371,merkley,114,OR,S,0.45220344201149776,0.43876926926504267,0.46554034959322776,0.4792598690750127,0.44880283258364,0.45423939508657274,0.5030272559621201,0.5944777119688173,0.07975239963090634,0.44194216,0.44454017
583,114118381,reed,114,RI,S,0.41385645875320143,0.42836766666959286,0.42068320814509014,0.414326952545677,0.3964752069296939,0.4333046029554539,0.39666022047357036,0.327450103568365,0.0988251271041604,0.48605928,0.48074332
584,114118391,risch,114,ID,S,0.5511134477427108,0.5539898034224227,0.49931590149874056,0.5313814156835981,0.48303330723354426,0.48173903084905745,0.47272935445431896,0.5104863815845931,0.9219726337507147,0.3413135,0.33418304
585,114118401,roberts,114,KS,S,0.5579774078771133,0.5662244660311803,0.5954391471432392,0.5037215682705521,0.47884291897349424,0.47851685537053307,0.6517050571589798,0.7045305179034685,0.9661139775908493,0.43776116,0.48874637
586,114118411,sessions,114,AL,S,0.4671631037172758,0.4432381090993836,0.4345871407913236,0.429379036831062,0.4076573268415795,0.4127706941262901,0.3979567009722818,0.37740694505967837,0.849341851081078,0.4544941,0.47989112
587,114118421,shaheen,114,NH,S,0.43724746673978526,0.4296240157606884,0.46701449126719613,0.4624684014948929,0.42782745581055737,0.42965193625425196,0.42727497906169365,0.3768560751949238,0.2734390325754737,0.49936652,0.5171676
588,114118431,udall,114,NM,S,0.4119696616334178,0.4038702908126805,0.37285296724499595,0.3677334861171445,0.4105424300014355,0.4167445154933389,0.3530107052867913,0.30664006294580687,0.3345339516658647,0.38921252,0.38515365
589,114118441,warner,114,VA,S,0.4386778630820206,0.49235159765397524,0.3917912009716896,0.4620347221536634,0.41222208550068623,0.43219410947807335,0.3750701102922973,0.3490267584365508,0.470637569668374,0.46338552,0.46554443
590,114118451,gillibrand,114,NY,S,0.37068696103544174,0.32662349958001136,0.28683160391664236,0.14358885659612194,0.3412884104267891,0.32190144393416303,0.15359964146274863,0.0017855674250148658,0.0749348869491361,0.38937685,0.4037726
591,114118461,franken,114,MN,S,0.334131379422185,0.3165686741908297,0.3346794228941487,0.2906323528476099,0.36252356138195635,0.34811079736819245,0.17993013909891423,0.02784116316664966,0.033399449668469,0.3890955,0.45718175
592,114118471,coons,114,DE,S,0.41499151554874053,0.3967111556580957,0.39046274549745014,0.4263787205610978,0.4000752410190493,0.3970915675456494,0.2890947708706419,0.09700043859092151,0.31671799128721106,0.407693,0.42530942
593,114118481,manchin,114,WV,S,0.4463335787471431,0.48845432289107427,0.4585732601592894,0.4843810137785499,0.43132838763500764,0.42127064536500686,0.40840253619016753,0.40803713483877324,0.6363270487491777,0.42165393,0.43898237
594,114118490,aderholt,114,AL,H,0.6109336126935481,0.5912347395651029,0.5429589821357637,0.5311444080486272,0.5138399239958344,0.4947853621451014,0.6748628345230794,0.6908313995328611,0.7235501460888583,0.4260136,0.46430677
595,114118500,amash,114,MI,H,0.6474878759480055,0.7075067400386817,0.704831657807078,0.7863893498079729,0.5233749686429828,0.5544140824888826,0.8309111042262352,0.9595920282820795,0.5613098410441917,0.51333356,0.5171286
596,114118511,ayotte,114,NH,S,0.5809584173624379,0.5975344886927305,0.6333248086143762,0.6601898388864513,0.4430107471423528,0.43157397255018903,0.5372883323898696,0.5175613341935036,0.707631275089847,0.47513252,0.44690955
597,114118521,baldwin,114,WI,S,0.29737873411669474,0.28950824462627023,0.2571782241549725,0.20611250915607687,0.31400331657719577,0.3143564688454834,0.14495857882675464,0.0004794111852085458,0.16356957727267413,0.50057834,0.5161985
598,114118530,barletta,114,PA,H,0.4699988635062811,0.5047058018273829,0.4662763339736942,0.48055236053815864,0.4151428045832417,0.423130127550616,0.3909707374082432,0.33752854194295434,0.8285909716570342,0.46229866,0.46929917
